,f0317ca4f,402b0d650,7e78d546b,2ad744c57,47abb3cb4,71ac2b961,5b8c88c94,293e2698e,4bdeca0d2,2ef8b7f4f,c380056bb,2488e17f5,20442bac4,8e8736fc8,62c547c8e,86f13324d,da52febdb,64e38e7a2,b0310a768,0d866c3d7,34a2f580b,24bcc2f15,e1e8947d8,05f11f48f,8c8616b62,79e0c374a,ad1466df8,f642213a6,f8405f8b9,1ae0db9d5,9dbb6b717,0f7ae26ce,81ec47b4c,ad4e33a4c,a78f85d49,8de6fcbf1,3ecc09859,d2ef684ed,9e39c29d0,value_count
1757,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,38
3809,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,37
511,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,36
3798,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,35
625,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,34
3303,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,33
4095,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,32
1283,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,30
4209,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,29
1696,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,28
3511,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,27
816,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,26
245,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,25
1383,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,24
2071,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,23
3492,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,22
378,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,21
2971,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,20
2366,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,19
4414,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,18
2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,17
3979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,16
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,15
1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,14
3516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,13
810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,12
4443,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,11
3697,0,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,10
235,200000,0,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,9
1382,0,200000,0,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,1674000,1674000,8
4384,0,0,0,200000,0,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,1674000,6
3418,0,0,0,0,200000,0,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,1674000,5
4396,0,0,0,0,0,200000,0,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,1674000,4
921,0,0,0,0,0,0,200000,0,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,1674000,3
3176,0,0,0,0,0,0,0,200000,0,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1674000,2
650,13760000,0,0,0,0,0,0,0,200000,0,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,102000,0,0,144000,0,0,1674000,1